name	agent	decision	reason
The Unofficial History of the Wulin - Gǔ Lóng	codex	DEMOTE	author
The Unofficial History of the Wulin - Gǔ Lóng	gemini	DEMOTE	Author disambiguator
The Unofficial History of the Wulin - Gǔ Lóng	grok	DEMOTE	author name
Thrive in Catastrophe - Jiāo Táng Dōng Guā	claude	DEMOTE	author
Thrive in Catastrophe - Jiāo Táng Dōng Guā	codex	DEMOTE	author
Thrive in Catastrophe - Jiāo Táng Dōng Guā	gemini	DEMOTE	Author disambiguator
Thrive in Catastrophe - Jiāo Táng Dōng Guā	grok	DEMOTE	author name
Twilight Series - Stephenie Meyer	claude	DEMOTE	author
Twilight Series - Stephenie Meyer	codex	DEMOTE	author
Twilight Series - Stephenie Meyer	gemini	DEMOTE	Author disambiguator
Twilight Series - Stephenie Meyer	grok	DEMOTE	author name
Vampire: The Masquerade - Various Authors (Choice of Games)	codex	DEMOTE	Choice of Games developer; various authors disambiguate.
Vampire: The Masquerade - Various Authors (Choice of Games)	gemini	DEMOTE	Authors and publisher disambiguator
Vampire: The Masquerade - Various Authors (Choice of Games)	grok	DEMOTE	Choice of Games authors qualifier
Warriors - Erin Hunter	claude	DEMOTE	author
Warriors - Erin Hunter	codex	DEMOTE	author
Warriors - Erin Hunter	gemini	DEMOTE	Author pseudonym disambiguator
Warriors - Erin Hunter	grok	DEMOTE	author name
Watamote - No Matter How I Look At It It's You Guys' Fault I'm Unpopular!	codex	KEEP	Official English title includes the full phrase.
Watamote - No Matter How I Look At It It's You Guys' Fault I'm Unpopular!	gemini	KEEP	Full translated title of the series
Watamote - No Matter How I Look At It It's You Guys' Fault I'm Unpopular!	grok	KEEP	manga's official English title
Witch of Blackbird Pond - Elizabeth George Speare	claude	DEMOTE	author
Witch of Blackbird Pond - Elizabeth George Speare	codex	DEMOTE	author
Witch of Blackbird Pond - Elizabeth George Speare	gemini	DEMOTE	Author disambiguator
Witch of Blackbird Pond - Elizabeth George Speare	grok	DEMOTE	author name
